カテゴリ,No,QA項目,確認手順,期待結果,対象プラットフォーム,優先度,備考
購入フロー,1,月額プランの価格表示,Proプラン画面で月額プランを選択する,価格が¥300/月と表示される（App Store Connect登録値と一致）,iOS,高,
購入フロー,2,年額プランの価格表示,Proプラン画面で年額プランを選択する,"価格が¥2,980/年、月あたり¥248相当の表示になる",iOS,高,
購入フロー,3,初回加入時のトライアル案内,初めてProに加入するユーザーでProプラン画面を開く,7日間無料トライアルの案内文言が表示される,iOS,高,
購入フロー,4,再加入時のトライアル文言と実際の課金の整合性,過去にトライアル済み（解約済み等）のユーザーが再度加入フローに入る,アプリの案内文言は変わらず「7日間無料」のままだが、実際のネイティブ決済ダイアログでは無トライアルの即時課金になっている。表示と実挙動が食い違っていないか確認する,iOS,高,クライアント側はhas_used_trialを判定していない既知仕様。表示とネイティブダイアログの整合性を要確認
購入フロー,5,2つの購入導線の一貫性,機能ロック時に出るPaywallModalと設定画面経由のapp/pro/index.tsxそれぞれから購入フローに入る,両方で同じプラン一覧・価格・トライアル案内が表示される,共通,中,PaywallModalとindex.tsxは購入ロジックがほぼ重複実装のため個別確認が必要
購入結果ハンドリング,6,購入成功,月額または年額プランを購入し決済を完了する,購入完了画面(success)に遷移し、Pro機能がロック解除される,iOS,高,
購入結果ハンドリング,7,購入成功後の同期失敗時の表示,購入直後にネットワークを切断する等でsync処理を失敗させる,決済自体は成功しているため「購入失敗」とは表示されず、成功画面に進む,iOS,高,issue#450で修正済みの回帰確認項目
購入結果ハンドリング,8,ユーザーキャンセル,ネイティブ決済ダイアログでキャンセルする,エラー表示は出ず、静かにProプラン画面に留まる,iOS,中,
購入結果ハンドリング,9,決済保留(Ask to Buyなど),ファミリー共有の承認待ち等でPAYMENT_PENDINGを発生させる,「お支払いが保留中です。承認が完了し次第、Proが有効になります」と案内される,iOS,中,実機での再現が難しい場合は開発者向け確認でも可
購入結果ハンドリング,10,他Apple IDで購入済みエラー,既に別のApple IDでPro購入済みの状態で新規購入を試みる,「既に購入済みです。「購入を復元」をお試しください」と案内される,iOS,中,
購入結果ハンドリング,11,購入ボタンの二重タップ防止,購入ボタンを連打する,決済処理が二重に走らず、1回分の購入のみ処理される,iOS,中,
購入復元,12,復元成功,過去に購入履歴がある同一Apple IDの端末で「購入を復元」を実行する,Pro状態が正しく復元され成功メッセージが表示される,iOS,高,
購入復元,13,復元対象0件,購入履歴が無いApple IDで「購入を復元」を実行する,「復元できる購入情報がありませんでした」と表示され、誤ってPro扱いにならない,iOS,高,issue#450で修正済みの回帰確認項目
購入復元,14,復元失敗,ネットワークを切断した状態で「購入を復元」を実行する,「復元に失敗しました。時間を置いて再度お試しください」と表示される,iOS,低,
サブスクリプション管理画面,15,未加入状態の表示,無料ユーザーでサブスクリプション管理画面を開く,「Proに加入する」CTAが表示される,共通,高,
サブスクリプション管理画面,16,トライアル中の表示,トライアル中のユーザーでサブスクリプション管理画面を開く,トライアル中である旨のバッジと次回更新日が表示される,iOS,高,
サブスクリプション管理画面,17,有効時の表示,通常課金中のユーザーでサブスクリプション管理画面を開く,次回更新日と「解約方法を見る」導線が表示される,共通,高,
サブスクリプション管理画面,18,解約済み(期限内)の表示,解約手続き済みだが期限内のユーザーで画面を開く,「利用期限」として次回失効日が表示され、Pro機能は引き続き利用できる,共通,高,
サブスクリプション管理画面,19,支払い問題発生時の表示,billing_issueステータスのユーザーで画面を開く,支払い情報の更新を促す表示になる,共通,中,実機での意図的な発生が難しい場合はDB直接操作での確認でも可
サブスクリプション管理画面,20,期限切れ後の表示,トライアルまたは課金期限が切れたユーザーで画面を開く,「Proに加入する」CTAが再表示される,共通,高,
サブスクリプション管理画面,21,状態取得APIエラー時の表示,pro/statusのAPI呼び出しを失敗させた状態で画面を開く,無料状態にフォールバック表示されず、エラーメッセージと再試行ボタンが表示される,共通,高,issue#450で修正済みの回帰確認項目
解約フロー,22,iOS加入者の解約導線,iOS課金のユーザーで「解約方法を見る」をタップする,アプリ内で解約は完結せず、Apple設定アプリのサブスクリプション画面へ誘導される,iOS,高,
解約フロー,23,Web加入者の解約導線,Web(Stripe)課金のユーザーで「解約方法を見る」をタップする,アプリ内で解約申請が完結し、成功メッセージが表示される,Web,高,
解約フロー,24,Web解約後の利用継続,Web加入者が解約申請後、次回更新日より前にアプリを開く,即時失効せず、期限までPro機能を引き続き利用できる,Web,中,
解約フロー,25,Android加入者への解約導線,Android課金のユーザーで解約導線を確認する,Google Playの解約手順が案内される（現状Apple向け文言が出る既知の問題があるため実際の表示を確認）,Web,低,issue#450で見送り判断済み。Android向けPro展開時に要対応
プラン変更,26,月額から年額への変更,月額プラン加入者がサブスクリプション管理画面からプランを年額に変更する,次回請求から年額プランの金額に切り替わる,共通,中,
プラン変更,27,年額から月額への変更,年額プラン加入者がプランを月額に変更する,次回請求から月額プランの金額に切り替わる,共通,中,
プラン変更,28,プラン変更後の状態整合性,プラン変更後にサブスクリプション管理画面を再確認する,plan_typeが正しく更新され、expires_at等の他の状態は不整合を起こさない,共通,中,
Entitlement/機能ゲーティング,29,練習メニュー上限,無料ユーザーが練習メニューを4件目登録しようとする,Pro加入を促す画面(PaywallModal)が表示される（無料枠3件）,共通,中,
Entitlement/機能ゲーティング,30,メディアアップロード上限,無料ユーザーが当月4点目の画像/動画をアップロードしようとする,Pro加入を促す画面が表示される（無料枠月3件）,共通,中,
Entitlement/機能ゲーティング,31,メニューセット上限,無料ユーザーがメニューセットを3件目作成しようとする,Pro加入を促す画面が表示される（無料枠2件）,共通,中,
Entitlement/機能ゲーティング,32,月次目標上限,無料ユーザーが月次目標を3件目作成しようとする,Pro加入を促す画面が表示される（無料枠2件、月次/週次/年間の合算）,共通,中,
Entitlement/機能ゲーティング,33,改善テーマ上限,無料ユーザーが取組中の改善テーマを3件目作成しようとする,Pro加入を促す画面が表示される（無料枠2件）,共通,中,
Entitlement/機能ゲーティング,34,振り返りテンプレ上限,無料ユーザーが自作の振り返りテンプレを2件目作成しようとする,Pro加入を促す画面が表示される（無料枠1件、プリセットは対象外）,共通,低,
